Title,Code,Rating,Rating Count
Cobra Kai,tt7221388,8.4,"193,853"
Derry Girls,tt7120662,8.4,"49,108"
Generation Kill,tt0995832,8.4,"56,113"
Your Lie in April,tt3895150,8.4,"33,252"
Avrupa Yakasi,tt0421291,8.4,"19,833"
The Night Of,tt2401256,8.4,"159,715"
The Angry Video Game Nerd,tt1230180,8.4,"15,576"
Alfred Hitchcock Presents,tt0047708,8.4,"18,238"
Gintama,tt0988818,8.4,"12,906"
Southland,tt1299368,8.4,"27,791"
Big Little Lies,tt3920596,8.4,"210,393"
Foyle's War,tt0310455,8.4,"16,775"
The Knick,tt2937900,8.4,"50,494"
Black Books,tt0262150,8.4,"60,435"
Queer Eye,tt7259746,8.4,"20,032"
The Defiant Ones,tt6958022,8.4,"15,371"
